task,submission,model,origin_source_bytes,orig_tc_shown_bytes,orig_tc_shown_fraction,orig_tc_shown_form,origin_truncated,reduced_source_bytes,reduced_tc_shown_bytes,reduced_tc_shown_fraction,reduced_tc_shown_form,reduced_truncated,no_tc_correct,orig_tc_correct,reduced_tc_correct,delta_reduced_origin,delta_reduced_no_test,orig_tc_prompt_contains_input,orig_tc_prompt_contains_expected,orig_tc_prompt_contains_actual,reduced_tc_prompt_contains_input,reduced_tc_prompt_contains_expected,reduced_tc_prompt_contains_actual
abc370d,65350386,Qwen2.5-Coder-7B-Instruct,1567915,40960,0.026123865132995094,prefix_40960,True,1567915,40960,0.026123865132995094,prefix_40960,True,1,1,1,0.0,0.0,True,True,True,True,True,True
abc370d,65350266,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,14,14,1.0,full,False,0,1,1,0.0,0.1,True,True,True,True,True,True
abc370d,67283761,Qwen2.5-Coder-7B-Instruct,1567915,40960,0.026123865132995094,prefix_40960,True,22,22,1.0,full,False,0,1,2,0.1,0.2,True,True,True,True,True,True
abc370d,65350192,Qwen2.5-Coder-7B-Instruct,1567915,40960,0.026123865132995094,prefix_40960,True,14,14,1.0,full,False,0,0,3,0.3,0.3,True,True,True,True,True,True
abc371d,66997913,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,2,4,2,-0.2,0.0,True,True,True,True,True,True
abc371d,66610768,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,1,0,1,0.1,0.0,True,True,True,True,True,True
abc371d,66993984,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,0,0,2,0.2,0.2,True,True,True,True,True,True
abc371d,66849824,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,1,0,1,0.1,0.0,True,True,True,True,True,True
abc371d,66994557,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,2,3,3,0.0,0.1,True,True,True,True,True,True
abc371d,66994628,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,1,2,1,-0.1,0.0,True,True,True,True,True,True
abc371d,66610631,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,0,0,1,0.1,0.1,True,True,True,True,True,True
abc371d,66715307,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,43,43,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc371d,66849751,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc371d,66850066,Qwen2.5-Coder-7B-Instruct,8211979,20480,0.002493917726774508,prefix_20480,True,84,84,1.0,full,False,1,1,1,0.0,0.0,True,True,True,True,True,True
abc372e,65729583,Qwen2.5-Coder-7B-Instruct,1144843,40960,0.03577783154546082,prefix_40960,True,1144843,40960,0.03577783154546082,prefix_40960,True,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc372e,65229511,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,52,52,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,65229436,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,52,52,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,63234684,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,18610,18610,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc372e,62871448,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,18610,18610,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,62870440,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,18610,18610,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,62869832,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,18610,18610,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,62869553,Qwen2.5-Coder-7B-Instruct,18610,18610,1.0,full,False,18610,18610,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc372e,63594564,Qwen2.5-Coder-7B-Instruct,2456068,40960,0.016677062687189444,prefix_40960,True,93,93,1.0,full,False,1,0,0,0.0,-0.1,True,True,True,True,True,True
abc372e,63594225,Qwen2.5-Coder-7B-Instruct,2456068,40960,0.016677062687189444,prefix_40960,True,93,93,1.0,full,False,2,1,0,-0.1,-0.2,True,True,True,True,True,True
abc373e,67236729,Qwen2.5-Coder-7B-Instruct,896214,20480,0.022851684977025576,prefix_20480,True,28,28,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67229036,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67100851,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67066262,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67066226,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67066043,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67065995,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc373e,67059080,Qwen2.5-Coder-7B-Instruct,1517326,20480,0.013497429029753658,prefix_20480,True,27,27,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc373e,67058914,Qwen2.5-Coder-7B-Instruct,1517326,20480,0.013497429029753658,prefix_20480,True,27,27,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc373e,66836397,Qwen2.5-Coder-7B-Instruct,1555770,20480,0.013163899548133722,prefix_20480,True,30,30,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc374e,67093981,Qwen2.5-Coder-7B-Instruct,1213,1213,1.0,full,False,1206,1206,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,67041262,Qwen2.5-Coder-7B-Instruct,1371,1371,1.0,full,False,1364,1364,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,67041400,Qwen2.5-Coder-7B-Instruct,1513,1513,1.0,full,False,1506,1506,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,67213607,Qwen2.5-Coder-7B-Instruct,1513,1513,1.0,full,False,1506,1506,1.0,full,False,2,4,1,-0.3,-0.1,True,True,True,True,True,True
abc374e,67243557,Qwen2.5-Coder-7B-Instruct,1513,1513,1.0,full,False,1506,1506,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,66609580,Qwen2.5-Coder-7B-Instruct,1371,1371,1.0,full,False,1364,1364,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,66708613,Qwen2.5-Coder-7B-Instruct,2413,2413,1.0,full,False,28,28,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,67028820,Qwen2.5-Coder-7B-Instruct,1371,1371,1.0,full,False,1364,1364,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc374e,66726283,Qwen2.5-Coder-7B-Instruct,1213,1213,1.0,full,False,1206,1206,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc374e,67096409,Qwen2.5-Coder-7B-Instruct,1513,1513,1.0,full,False,1506,1506,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,67172723,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,67163740,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,67061482,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,66923608,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,66863024,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,66862645,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,66862484,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc375c,66862442,Qwen2.5-Coder-7B-Instruct,1028292,20480,0.019916521766190926,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
