2275 116617
2 992 7
1 689 1428
1 786 1341
2 16 5
2 1618 10
1 104 1344
2 374 5
1 1845 2142
1 998 1392
1 285 582
1 15 1019
1 1084 1689
2 154 10
2 1428 10
2 1057 4
2 186 4
1 9 972
1 1146 1935
2 950 7
2 2144 8
1 179 554
2 225 9
1 943 1508
2 2176 3
2 578 9
1 1366 1512
2 1310 7
2 313 3
2 1949 8
1 1840 2032
1 247 1088
1 237 348
2 497 6
1 139 723
1 698 2155
2 273 9
1 586 1451
1 810 1475
1 969 1787
2 1359 3
2 896 5
1 429 527
1 182 1323
1 224 434
2 1815 2
1 627 1146
1 405 1259
1 2199 2200
2 1653 4
2 838 10
2 1843 2
1 375 1560
2 1709 1
2 1675 4
2 636 7
1 201 801
1 27 1466
2 2022 3
1 8 261
1 1333 1559
1 408 1716
1 447 1457
1 1605 2118
1 262 1803
1 880 1214
2 340 3
1 358 697
2 1508 3
2 2004 8
1 489 1924
1 826 2069
1 170 1754
2 810 9
1 1486 2016
1 1385 1607
1 135 500
1 94 1675
2 1915 10
1 37 1559
2 2058 5
1 1258 2166
2 2232 2
1 391 1058
2 300 8
2 1042 4
1 1510 1925
1 1521 2006
2 1896 3
2 48 7
2 253 10
1 1208 2158
1 698 1756
1 1158 1675
1 1415 1471
1 81 615
2 1478 8
2 608 5
2 1206 1
1 127 543
2 1453 2
1 1147 1710
2 1620 6
1 139 1714
1 969 2113
2 258 9
2 1996 6
1 1480 2271
2 1761 9
2 767 4
1 217 1925
2 1564 4
1 567 2166
2 866 4
1 662 1459
1 917 1495
1 86 1012
1 591 728
1 1343 1753
2 1938 7
1 443 822
1 1420 1842
2 861 4
1 1586 1808
2 940 6
2 1691 2
2 1393 1
1 500 1357
2 478 3
2 222 10
2 520 8
1 512 684
2 465 4
1 129 1479
1 559 1892
1 880 1241
1 286 1384
1 435 797
1 676 1416
1 344 1467
1 912 1474
1 1311 1640
2 2201 8
2 2008 9
2 1642 1
1 1790 2170
1 937 2061
2 1010 8
1 173 1687
1 1172 1626
2 1002 10
1 622 1444
2 738 6
1 1404 1618
1 303 1237
1 1490 2176
1 393 782
1 1596 1654
2 1704 5
2 1375 9
1 90 1316
2 1505 10
2 75 2
2 676 5
1 2031 2210
2 703 10
1 320 1162
1 921 1725
2 1236 6
2 645 7
1 729 2169
2 349 7
1 444 878
1 1584 1723
2 944 1
2 1769 4
1 170 200
2 899 2
1 109 132
2 636 7
1 174 297
2 789 8
2 1023 2
1 1299 1626
1 1986 2255
1 399 641
2 1674 6
2 1327 9
1 1008 2072
1 54 694
1 493 1908
1 23 1304
1 471 2005
1 640 1397
2 1131 8
1 20 977
1 1321 2252
1 233 2114
1 1050 2002
2 1681 10
1 355 1816
2 1040 6
1 186 1142
2 1167 8
1 87 286
1 712 1163
1 203 330
2 750 10
2 638 9
2 2252 1
2 1767 5
2 1501 2
1 1320 2194
1 1328 1341
2 73 3
1 1339 1815
2 1776 5
1 173 875
1 1615 1952
2 1492 3
1 1899 1935
1 121 1490
1 116 174
2 1635 1
1 1310 2115
1 353 2212
2 1752 5
1 1415 1887
2 1228 6
1 1484 2164
2 1881 1
1 730 811
1 210 739
2 1195 8
2 732 6
1 102 1695
2 1429 8
2 2026 4
1 62 1466
2 1027 9
2 1450 2
1 467 1492
1 1858 1885
2 2217 2
1 79 1974
2 2250 9
2 600 5
2 2099 3
1 32 1572
1 1266 2215
1 256 523
2 994 8
2 612 6
2 1487 3
1 1830 2174
2 660 2
2 2112 5
2 1416 6
2 2117 2
1 1289 2204
2 325 1
2 602 8
1 94 1348
2 248 6
1 975 1207
1 1055 1837
1 866 2170
2 910 5
1 378 1736
2 1226 1
1 1347 1806
1 1428 1570
2 226 1
1 1520 1914
1 689 1027
2 582 1
2 957 7
2 877 4
2 335 8
1 1097 2203
1 542 1452
2 696 7
1 548 2079
1 842 2115
1 18 2072
2 1030 4
1 1108 1256
2 529 3
1 1673 1961
1 928 1119
2 885 2
1 74 1906
2 32 8
2 1013 1
2 523 3
2 1811 7
1 113 1952
2 1089 3
1 1482 2022
1 334 693
2 420 9
2 1703 7
1 1999 2120
2 965 2
1 271 926
1 848 2115
2 1319 4
2 429 7
1 565 2096
2 154 10
2 994 6
2 246 3
1 2004 2049
2 2120 3
1 152 979
2 258 10
1 1558 1685
1 1493 1839
1 131 590
1 1636 2141
1 1233 1679
1 15 171
1 534 1198
1 2139 2210
2 74 8
2 1743 1
1 294 622
2 1505 2
2 1668 4
2 1683 6
2 599 2
1 1653 2011
1 835 1996
1 51 1035
2 1556 8
2 801 10
1 961 2128
2 2108 3
2 1055 9
2 1702 3
1 1820 2140
2 448 2
2 1526 7
2 250 2
1 622 764
1 494 2060
2 791 8
1 2026 2243
2 1057 2
2 2206 7
2 921 10
1 917 1161
2 1935 7
1 385 1138
2 1503 1
1 431 2085
2 2047 9
2 1176 9
2 1249 4
2 1843 3
2 1424 2
2 764 9
1 128 903
1 1750 2272
1 385 492
2 1866 1
2 1949 6
2 150 7
2 690 3
2 833 3
2 956 9
1 1018 1331
1 857 1212
2 1222 2
2 1598 7
2 1551 5
2 1187 5
2 1810 6
1 173 1229
1 481 1612
1 45 1765
1 1107 1722
2 94 3
1 1079 1168
2 1770 4
2 19 5
2 1614 1
1 74 1293
2 753 7
2 830 1
2 1549 5
2 2249 5
2 1881 6
2 57 3
2 905 3
1 139 454
2 1657 5
2 2037 4
1 219 471
1 385 1817
1 1272 1298
2 380 3
1 1203 2085
2 1390 2
1 922 1920
1 313 1411
2 1738 9
1 1663 2154
1 825 966
1 61 68
2 1546 1
2 2252 5
2 651 8
2 2084 10
1 1033 2044
2 2214 9
2 1075 5
1 515 820
2 568 1
2 1945 7
2 1937 5
1 861 1408
1 72 2043
2 2151 4
2 1745 9
2 1905 3
1 176 464
1 1855 2158
1 1081 1134
1 1442 2210
2 1000 9
2 2008 1
2 1153 5
1 995 1331
1 89 2260
1 550 1475
2 565 9
1 624 678
1 1351 2000
2 2025 5
1 189 1173
2 1646 2
2 1924 10
2 698 10
1 1449 1687
1 1080 2153
1 160 771
2 1854 5
2 747 8
1 315 2079
2 1701 7
1 1247 1886
2 1339 10
1 105 1384
1 453 1825
2 1969 3
2 1638 5
1 441 1509
1 770 2001
1 1046 1389
1 1296 1398
1 96 176
2 177 7
2 1930 4
2 855 10
1 1162 1555
1 690 1176
1 1052 2095
2 2222 2
2 1897 7
1 811 1161
2 2206 10
2 1650 8
2 459 7
2 1757 2
2 434 3
1 1155 2079
2 1120 1
2 191 3
2 1621 9
1 539 1023
1 1973 2172
1 1129 1247
1 846 879
2 1104 7
1 1478 2250
1 117 503
2 896 7
2 1749 10
1 7 865
1 943 1982
1 209 1499
1 1326 2167
1 657 1473
2 949 4
1 811 2127
1 45 1460
2 2076 1
2 528 1
2 2110 4
1 1438 1541
2 1025 10
2 1676 3
2 1684 9
2 904 5
1 1525 1557
1 310 1899
2 1562 6
1 1465 1859
1 1482 1493
2 1057 5
2 1610 10
2 2084 2
2 1244 1
2 506 7
2 491 2
2 740 1
1 103 2014
1 805 989
2 1784 1
1 810 2094
1 1906 2259
2 1806 1
1 1664 1675
2 238 4
1 744 827
1 755 1291
1 1923 1934
1 280 1346
1 379 890
1 672 1350
2 1366 4
2 1357 5
1 1489 1881
1 64 834
2 645 2
1 559 2186
2 802 3
2 2060 8
2 1859 4
1 722 1213
2 372 5
1 631 2129
1 660 1700
1 644 938
1 213 1043
2 2179 2
1 1818 1933
2 1233 6
2 1197 10
1 1553 2213
1 758 1574
2 1443 1
2 955 9
2 903 4
1 753 1810
2 981 6
1 942 1556
2 1932 4
2 1021 8
1 1791 2189
1 137 811
2 1872 8
1 1175 2071
2 2126 2
2 1305 1
1 468 1231
1 445 1802
1 788 1878
2 556 1
2 514 9
1 886 1870
1 890 1324
1 1118 1912
2 693 6
1 139 2108
1 311 1624
2 1619 3
2 640 9
2 498 6
2 18 5
2 1158 9
1 74 2104
2 1963 7
1 50 1992
1 714 1505
1 236 1108
1 333 1267
2 58 6
1 52 694
1 1003 1168
1 760 1572
1 1865 1963
1 1263 1337
2 305 1
1 1292 1561
2 303 2
2 980 7
1 330 1350
2 1344 9
2 2053 2
1 29 974
2 688 7
2 1207 3
1 606 1582
1 1689 1873
1 1660 1913
1 539 1567
1 407 759
1 451 2058
1 341 1248
1 1264 2262
2 1751 4
2 214 6
2 9 4
1 607 1594
2 557 2
1 1073 1291
2 186 10
1 3 1386
1 881 2127
1 791 982
1 1991 2072
1 626 1913
2 546 6
1 1093 1952
2 1863 8
2 281 10
1 703 890
1 353 519
2 2048 9
2 335 5
2 672 5
2 51 8
2 392 6
1 1516 2110
1 491 2229
1 269 1192
1 1799 1883
1 1394 1555
2 466 7
2 760 10
2 1175 6
2 1642 7
2 1775 2
2 1298 7
2 292 2
1 254 1550
1 201 292
2 2029 6
2 1736 9
2 2204 4
1 229 1759
2 390 2
1 726 1899
2 725 1
1 132 1443
1 1609 2118
2 1890 3
2 706 10
2 1121 1
2 1901 8
2 892 6
2 1086 8
1 879 1956
1 1128 1902
1 35 996
2 2155 7
2 1995 5
1 336 849
1 1188 1474
1 670 1684
1 810 2236
1 735 2192
1 27 693
1 529 769
1 1815 1947
1 226 2184
1 759 1398
1 263 908
2 96 4
1 552 1351
1 159 2063
1 2202 2210
2 1279 6
2 1969 7
1 2143 2244
1 279 1522
2 1107 1
1 798 897
1 115 801
2 1223 9
1 891 1363
1 519 1883
1 217 1932
1 1231 1916
1 661 1787
2 2151 5
1 22 815
2 2059 3
2 1820 8
1 1303 1397
1 1565 1794
1 2025 2135
2 997 8
1 430 651
2 470 5
1 638 2022
2 81 6
2 424 4
2 1993 5
1 1031 1586
1 566 1207
2 739 6
1 1069 1324
1 756 2041
2 918 5
2 679 7
1 967 1181
1 931 1247
1 1623 2091
2 669 6
2 776 1
2 1186 9
1 723 1799
1 982 1135
1 693 1736
1 811 2077
1 59 458
1 317 2257
1 1039 2094
2 1417 3
1 1005 1777
1 777 1074
2 1009 9
1 1467 1594
2 906 3
1 1138 2118
1 1450 1995
1 977 2127
1 162 472
2 1126 8
1 1143 1361
2 17 2
2 2257 3
2 36 7
2 608 8
1 1467 1682
1 29 1190
2 1568 2
1 56 773
1 1052 1995
2 849 9
1 1035 1237
2 1166 2
1 1182 1460
2 529 7
1 1656 1796
2 260 9
1 1876 2274
2 1549 10
2 2010 6
2 885 9
1 417 2178
2 2183 2
1 2112 2204
1 885 1782
1 677 1584
2 698 9
2 1450 6
1 702 767
2 1234 5
2 184 9
2 2231 4
2 1299 5
1 620 2018
2 1777 1
1 361 705
2 1328 2
2 1425 2
1 861 1724
2 662 5
1 971 2092
2 1146 8
1 131 1898
1 1023 1205
1 1341 2172
2 6 6
1 1382 1632
1 455 1994
2 880 4
1 574 1099
1 1257 2254
2 1095 10
2 941 2
2 1789 1
1 239 2258
2 982 8
1 651 2266
1 1819 1896
2 2092 7
2 1600 2
1 450 1025
1 265 1224
2 1029 6
1 1659 1939
1 90 2029
2 816 5
2 534 10
1 936 1481
1 1334 2035
1 2060 2111
1 929 1626
2 209 1
2 1367 2
2 1057 8
1 1164 1466
2 433 1
2 37 3
2 780 10
2 838 8
2 365 1
1 214 480
1 1321 2189
1 1633 2097
1 546 1627
2 705 1
1 1133 1279
1 108 1410
2 853 8
1 445 909
1 1957 2142
1 326 1463
1 1745 1822
1 137 1926
1 514 1205
1 2082 2145
1 1590 2108
2 6 6
1 524 679
2 577 2
1 1103 2000
2 1423 4
2 149 1
2 1238 7
2 612 5
2 1744 4
1 38 1516
1 1193 2220
1 348 1298
2 1744 7
1 537 1080
2 82 2
2 135 8
1 762 1661
2 1584 2
1 553 1944
2 2049 7
2 2087 1
2 361 8
2 1364 3
1 202 1306
1 255 793
1 952 1851
1 843 2177
1 1671 2104
1 2137 2269
1 2134 2144
1 869 1217
1 109 2264
1 1051 1563
1 27 1006
2 769 2
2 574 1
1 1319 1866
2 858 8
2 1818 5
1 210 1612
1 554 1257
1 855 1950
1 357 1465
1 421 1177
1 1004 1302
1 596 1202
1 13 2014
2 1575 6
2 2254 10
1 472 2132
1 674 1058
1 6 280
2 771 3
2 2245 7
1 68 1942
2 2110 8
1 42 1892
1 515 1794
2 29 8
1 1161 2108
2 527 2
1 1569 1856
1 941 1947
2 1073 5
2 2054 7
2 1096 1
2 605 1
2 1460 2
1 140 2041
2 1146 5
1 364 1863
1 346 1504
1 1758 1955
1 15 1045
2 144 2
1 465 1685
1 1349 1528
1 609 1618
1 183 1829
2 1132 8
1 858 1527
1 1547 1856
1 1068 2154
1 1306 2012
1 353 811
2 911 2
1 347 1371
2 1858 9
1 1366 1506
2 1478 2
1 45 2171
1 1016 2063
1 334 580
1 1020 2023
2 654 8
1 1523 1669
1 698 1828
2 2244 7
2 1042 1
2 388 2
2 978 7
2 1951 3
2 2081 4
1 1350 1409
1 1005 1079
1 1072 1326
1 308 2264
2 1997 9
2 1105 7
2 1569 3
1 912 997
2 985 4
2 1650 6
2 404 3
2 1155 3
2 302 1
1 1676 2171
2 2100 9
2 894 5
1 362 984
1 511 1251
1 403 794
1 804 1266
1 385 2122
1 2091 2115
1 834 1790
2 2006 4
1 291 1139
2 273 8
1 820 2003
1 462 1154
1 1212 1497
2 471 10
2 562 3
1 1071 1395
1 832 2188
1 2 1745
1 438 1237
1 863 1553
2 223 1
2 103 8
1 323 1135
2 1564 2
1 944 2201
2 2191 9
1 1050 1294
1 917 1873
1 491 537
1 372 602
2 645 10
2 1926 7
1 298 1553
1 137 454
1 107 538
2 227 2
2 819 1
1 779 1371
1 1390 1842
2 250 10
1 902 985
1 202 2089
2 958 2
2 173 9
2 88 5
1 313 1815
2 1316 8
1 1262 1268
1 878 1997
2 501 10
1 958 1679
1 354 665
1 1228 1784
1 1662 1675
2 1603 5
1 795 868
2 2160 1
2 765 8
1 100 1780
2 476 3
1 42 987
1 773 1016
1 1062 1397
1 687 1147
2 1663 4
1 1046 1753
2 529 9
1 1016 1674
1 1407 1733
2 196 6
2 533 3
2 1264 5
2 1986 2
1 1192 1565
2 1681 7
1 476 905
1 1404 1943
1 1183 1276
2 1152 10
2 1835 4
2 2018 6
2 237 5
2 424 7
1 548 1732
2 791 6
1 653 1684
2 919 6
1 426 1583
2 1043 7
2 520 5
2 512 8
2 856 2
2 767 8
1 96 536
1 1260 2112
2 1132 4
1 298 1744
1 382 2066
2 70 1
2 761 5
1 1207 1592
1 98 863
1 79 831
2 1589 2
2 2248 10
1 625 1402
1 1407 1483
1 424 1654
2 10 8
1 244 1221
2 743 6
1 1953 2186
1 153 1734
2 2024 3
1 1429 2258
1 28 1636
2 1057 6
2 1872 7
1 493 1675
2 101 5
1 303 2068
2 207 7
2 479 1
1 501 897
1 250 539
2 1158 2
1 27 1726
2 1868 2
1 1314 1825
2 1057 2
2 1660 2
1 1421 1886
2 1605 5
2 659 8
1 967 1108
2 771 5
1 120 409
2 605 9
1 722 856
1 62 1495
1 1521 1975
1 271 875
1 194 580
2 1146 6
2 1112 6
1 523 1722
1 472 1066
1 497 623
1 836 1394
2 743 3
1 1330 2160
1 653 1107
1 1118 1407
1 168 1747
2 699 2
1 430 2131
2 1922 1
1 298 2024
2 252 2
2 2239 4
1 836 1659
1 1678 1977
2 355 5
2 952 5
2 477 1
1 615 1700
1 1052 1885
1 440 1974
2 1683 7
2 783 9
2 1632 4
1 251 825
1 671 2181
2 1889 6
2 333 5
1 307 2041
1 2044 2200
2 418 10
2 2134 9
1 340 1256
1 13 804
1 183 632
1 1046 1464
1 347 944
1 1235 1540
1 1440 1833
1 146 274
2 1106 5
1 1556 2000
1 189 857
2 1312 3
2 1802 2
2 1480 8
2 2207 9
2 993 7
2 44 1
1 1596 1884
2 889 7
1 591 2130
2 1722 2
2 425 5
2 1003 2
2 1432 4
2 1740 5
2 913 1
2 1571 1
1 902 1568
1 576 2081
2 1523 10
1 215 2246
1 953 1954
2 1984 3
2 295 3
2 453 2
2 1384 4
1 1145 1336
1 1686 1963
1 2106 2231
1 311 2232
1 331 1478
2 1335 9
2 1082 3
2 1333 6
2 1276 7
1 1662 2065
2 2008 4
2 600 1
1 1061 1384
1 177 2218
1 319 2082
2 1463 1
1 634 1381
2 206 5
2 946 3
1 235 1848
1 193 1099
2 73 1
1 630 685
1 101 1157
1 654 1968
1 1134 1246
1 1003 1078
1 48 1792
2 1307 1
2 2127 7
2 2172 7
2 1099 3
1 480 976
1 1108 1133
1 93 1132
2 1891 1
2 477 5
1 142 1949
2 1805 10
2 2231 10
2 673 2
2 48 6
2 114 1
1 189 1321
2 991 6
1 1569 2254
1 1209 1223
1 396 1044
1 159 2147
2 936 4
2 511 3
2 1554 5
2 541 8
2 1584 6
2 2102 1
2 2205 1
1 1164 1549
1 709 2219
2 505 2
1 766 1380
1 20 1705
2 2044 4
1 1714 1908
2 1095 3
1 261 446
2 462 5
1 743 2058
1 1702 2216
2 2068 9
1 1645 2041
1 1288 1534
2 370 7
1 874 1882
1 380 1973
2 1353 6
2 2259 5
2 631 3
2 484 3
1 968 1770
2 480 3
1 1694 2145
1 1237 2103
1 1247 1573
1 683 1982
2 153 6
1 1549 1612
2 202 7
1 1589 1997
1 1128 1496
2 2235 1
2 597 3
2 1567 6
1 1325 1480
1 837 1982
2 1527 5
1 35 1308
2 1090 2
2 452 2
1 546 2017
1 53 920
1 642 1124
2 1566 4
1 69 518
2 2253 9
1 36 2265
1 524 941
2 2151 10
2 95 10
2 208 4
1 699 1607
1 178 623
2 365 7
2 1542 10
1 124 2161
2 391 8
1 221 1209
1 694 1111
1 925 1589
1 1604 1953
2 1307 8
2 1772 4
1 308 1983
2 1613 6
1 17 1872
1 711 1803
2 1145 8
2 791 6
1 1339 1614
2 1365 7
2 1013 10
2 1548 7
1 184 1472
1 754 2031
1 1104 1158
2 663 8
2 752 3
1 1378 1488
2 17 9
1 79 1518
1 279 1757
1 1152 2067
1 507 1682
1 779 2178
2 1461 4
1 448 2056
1 387 1013
2 127 5
1 654 804
2 1981 4
2 2084 8
2 914 10
2 1767 1
2 470 9
2 2118 2
